CPB/ROE,Ano,Bilheteria total,Dias no ano,Sessões no ano,Máx. complexos,Máx. grupos exibidores,Máx. exibidores,Máx. municípios,Máx. UFs,Última sessão registrada,Público total,Semanas em exibição,Gênero,Países,Salas na estreia,Título,Estreia,Máx. salas,Público no ano,Bilheteria no ano,Distribuidora,Fontes
E2500359500000,2025,55255.05,22.0,536.0,65.0,12.0,19.0,46.0,22.0,2025-11-09,2950.0,,,,,TOTTO-CHAN: A MENINA NA JANELA,2025-10-09,74.0,2950.0,55255.05,Sato Company,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500359600000,2025,6663.12,7.0,148.0,17.0,5.0,8.0,14.0,11.0,2025-10-22,345.0,,,,,DETETIVE CONAN: O PENTAGRAMA DE MILHÕES DE DÓLARES,2025-10-16,17.0,345.0,6663.12,Sato Company,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500436400000,2025,1593.24,13.0,62.0,6.0,5.0,6.0,6.0,6.0,2025-12-23,82.0,,,,,MAKE A GIRL,2025-12-11,8.0,82.0,1593.24,Sato Company,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500436600000,2025,51654.15,41.0,164.0,11.0,7.0,9.0,9.0,7.0,2025-12-30,2818.0,,,,,ANGEL´S EGG,2025-11-19,15.0,2404.0,48659.15,Sato Company,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2500436600000,2026,53569.15,7.0,7.0,9.0,0.0,1.0,1.0,1.0,2026-01-28,2818.0,,,,,ANGEL´S EGG,2026-01-09,11.0,414.0,4910.0,Sato Company,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br
E2600005700000,2026,32624.45,13.0,399.0,35.0,9.0,9.0,24.0,17.0,2026-02-24,1507.0,,,,,VOCÊ SÓ PRECISA MATAR,2026-02-12,43.0,1507.0,32624.45,,Ancine - Painel OCA // Ancine - dados.gov.br
X02,1995,,,,,,,,,,,,,,,,,,1048213.0,,,Database Brasil - FilmeB
X04,2001,,,,,,,,,,,,,,,,,,143010.0,,,Database Brasil - FilmeB
X07,2003,,,,,,,,,,,,,,,,2003-11-28,2.0,1888.0,14670.0,,Database Brasil - FilmeB
X08,2004,,,,,,,,,,,,,,,,2004-03-09,102.0,254447.0,1521905.0,,Database Brasil - FilmeB
X10,2005,,,,,,,,,,,,,,,,2005-07-08,150.0,253426.0,1530960.0,,Database Brasil - FilmeB
X12,2006,,,,,,,,,,,,,,,,2006-02-11,72.0,78010.0,533847.0,,Database Brasil - FilmeB
